Number,CEID,Status ( >0 : Enable; <0 : Disable),Comment,

    1),1,1,E30 : Offline,

    2),2,1,E30 : Local,

    3),3,1,E30 : Remote,

    4),11,1,E30 : Operator Command Issued,

    5),12,1,E30 : Processing Started,

    6),13,1,E30 : Processing Completed,

    7),14,1,E30 : Processing Stopped,

    8),15,1,E30 : Processing Status Change,

    9),16,1,E30 : Alarm Detected,

   10),17,1,E30 : Alarm Cleared,

   11),19,1,E30 : Process Program Change,

   12),20,1,E30 : Process Program Selected,

   13),21,1,E30 : Material Received,

   14),22,1,E30 : Material Removed,

   15),23,1,E30 : Spooling Activated,

   16),24,1,E30 : Spooling Deactivated,

   17),25,1,E30 : Spool Transmit Failure,

   18),26,1,E30 : Message Recognition,

   19),27,1,E30 : New execution Recipe,

   20),28,1,E30 : Execution Recipe Change,

   21),29,1,E30 : Successful Upload,

   22),30,1,E30 : Bad Upload,

   23),31,1,E30 : Operator ECID Change,

   24),41,1,E30 : Equipment Engineer Call,

   25),42,1,E30 : Process Engineer Call,

   26),1001,1,E30 : LP1_STATUS_CHANGE,

   27),1002,1,E30 : LP1_START,

   28),1003,1,E30 : LP1_RESERVE,

   29),1004,1,E30 : LP1_COMPLETE,

   30),1005,1,E30 : LP1_CANCEL,

   31),1006,1,E30 : LP1_PAUSE,

   32),1007,1,E30 : LP1_RESUME,

   33),1008,1,E30 : LP1_STOP,

   34),1009,1,E30 : LP1_ABORT,

   35),1011,1,E30 : LP1_FOUP_DOOR_OPEN,

   36),1012,1,E30 : LP1_FOUP_DOOR_CLOSE,

   37),1013,1,E30 : LP1_FOUP_CLAMPED,

   38),1014,1,E30 : LP1_FOUP_UNCLAMPED,

   39),1015,1,E30 : LP1_FOUP_DOCKED,

   40),1016,1,E30 : LP1_FOUP_UNDOCKED,

   41),1021,1,E30 : LP1_CSTID_READ_START,

   42),1022,1,E30 : LP1_CSTID_READ_END,

   43),1026,1,E30 : LP1_SLOT_MAP_START,

   44),1027,1,E30 : LP1_SLOT_MAP_END,

   45),1028,1,E30 : LP1_FIRST_WAFER_FROM_FOUP,

   46),1029,1,E30 : LP1_LAST_WAFER_INTO_FOUP,

   47),1036,1,E30 : LP1_WAFER_FROM_FOUP,

   48),1037,1,E30 : LP1_WAFER_INTO_FOUP,

   49),1038,1,E30 : LP1_WAFER_MHP_REPORT,

   50),1041,1,E30 : LP1_WAFER_TRANSFER_START,

   51),1042,1,E30 : LP1_WAFER_TRANSFER_END,

   52),1046,1,E30 : LP1_WAFER_INTO_PMC,

   53),1047,1,E30 : LP1_WAFER_FROM_PMC,

   54),1051,1,E30 : LP1_WAFER_PROCESS_START,

   55),1052,1,E30 : LP1_WAFER_PROCESS_END,

   56),1053,1,E30 : LP1_WAFER_PROCESS_DATA_REPORT,

   57),1056,1,E30 : LP1_WAFER_STEP_START,

   58),1057,1,E30 : LP1_WAFER_STEP_END,

   59),1058,1,E30 : LP1_WAFER_STEP_DATA_REPORT,

   60),1061,1,E30 : LP1_WAFER_VISIT_HISTORY_REPORT,

   61),1062,1,E30 : LP1_LOT_DATA_REPORT,

   62),1071,1,E30 : LP1_LOAD_REQUEST,

   63),1072,1,E30 : LP1_LOAD_COMPLETE,

   64),1073,1,E30 : LP1_UNLOAD_REQUEST,

   65),1074,1,E30 : LP1_UNLOAD_COMPLETE,

   66),1076,1,E30 : LP1__ACCESS_MODE__AUTO,

   67),1077,1,E30 : LP1__ACCESS_MODE__MANUAL,

   68),1078,1,E30 : LP1__CARRIER_ID_STATUS__ID_NOT_READ,

   69),1079,1,E30 : LP1__CARRIER_ID_STATUS__ID_WAITING_FOR_HOST,

   70),1080,1,E30 : LP1__CARRIER_ID_STATUS__ID_VERIFICATION_OK,

   71),1081,1,E30 : LP1__CARRIER_ID_STATUS__ID_VERIFICATION_FAILED,

   72),1082,1,E30 : LP1__SLOT_MAP_STATUS__SLOT_MAP_NOT_READ,

   73),1083,1,E30 : LP1__SLOT_MAP_STATUS__SLOT_MAP_WAITING_FOR_HOST,

   74),1084,1,E30 : LP1__SLOT_MAP_STATUS__SLOT_MAP_VERIFICATION_OK,

   75),1085,1,E30 : LP1__SLOT_MAP_STATUS__SLOT_MAP_VERIFICATION_FAILED,

   76),1086,1,E30 : LP1__CARRIER_ACCESS_STATUS__NOT_ACCESSED,

   77),1087,1,E30 : LP1__CARRIER_ACCESS_STATUS__IN_ACCESS,

   78),1088,1,E30 : LP1__CARRIER_ACCESS_STATUS__CARRIER_COMPLETE,

   79),1089,1,E30 : LP1__CARRIER_ACCESS_STATUS__CARRIER_STOPPED,

   80),1090,1,E30 : LP1__RESERVATION_STATUS__NOT_RESERVED,

   81),1091,1,E30 : LP1__RESERVATION_STATUS__RESERVED,

   82),1092,1,E30 : LP1__ASSOCIATION_STATUS__NOT_ASSOCIATED,

   83),1093,1,E30 : LP1__ASSOCIATION_STATUS__ASSOCIATED,

   84),1094,1,E30 : LP1__TRANSFER_STATUS__OUT_OF_SERVICE,

   85),1095,1,E30 : LP1__TRANSFER_STATUS__TRANSFER_BLOCKED,

   86),1096,1,E30 : LP1__TRANSFER_STATUS__READY_TO_LOAD,

   87),1097,1,E30 : LP1__TRANSFER_STATUS__READY_TO_UNLOAD,

   88),1098,1,E30 : LP1__TRANSFER_STATUS__IN_SERVICE,

   89),1201,1,E30 : LP2_STATUS_CHANGE,

   90),1202,1,E30 : LP2_START,

   91),1203,1,E30 : LP2_RESERVE,

   92),1204,1,E30 : LP2_COMPLETE,

   93),1205,1,E30 : LP2_CANCEL,
