0.1,
Channel,Type,Title,Mode,Index,CH-Type,Group,
FNC_CHM+APP.LEAK_CHECK.LOG.MESSAGE,EVENT,,DISABLE,0,S,,
FNC_CHM+APP.LEAK_CHECK.LOG.PRESSURE,EVENT,,DISABLE,0,S,,
FNC_CHM+APP.LEAK_CHECK.LOG.RATE,EVENT,,DISABLE,0,S,,
FNC_CHM+APP.LEAK_CHECK.LOG.RESULT,EVENT,,DISABLE,0,S,,
FNC_CHM+APP.LEAK_CHECK.LOG.START_PRESSURE,EVENT,rcp.msg,ENABLE,0,S,,
FNC_STEP+RCP.STEP.MESSAGE,EVENT,,DISABLE,0,S,,
FNC_STEP+RCP.STEP.MODE,EVENT,,DISABLE,0,D,,
FNC_STEP+RCP.STEP.TIME,EVENT,,DISABLE,0,A,,
IO+ai.CHM.Pressure.1000_Torr,INTERVAL,,DISABLE,0,A,,
IO+ai.CHM.Pressure.10_Torr,INTERVAL,,DISABLE,0,A,,
IO+ai.ESC.He.Flow,INTERVAL,,DISABLE,0,A,,
IO+ai.ESC.He.Pressure,INTERVAL,,DISABLE,0,A,,
IO+ai.Gas_Box.Diff_Pressure,INTERVAL,,DISABLE,0,A,,
IO+ai.PT1.Pressure,INTERVAL,,DISABLE,0,A,,
IO+ai.Pin_Pos.AMP1,INTERVAL,,DISABLE,0,A,,
IO+ai.Pin_Pos.AMP2,INTERVAL,,DISABLE,0,A,,
IO+ai.Pin_Pos.AMP3,INTERVAL,,DISABLE,0,A,,
IO+ai.Pump.Line.Pressure,INTERVAL,,DISABLE,0,A,,
IO+ao.Chuck.Zone_1.Temp.Set,INTERVAL,,DISABLE,0,A,,
IO+ao.Chuck.Zone_2.Temp.Set,INTERVAL,,DISABLE,0,A,,
IO+ao.Chuck.Zone_3.Temp.Set,INTERVAL,,DISABLE,0,A,,
IO+ao.Chuck.Zone_4.Temp.Set,INTERVAL,,DISABLE,0,A,,
IO+ao.ESC.He.Pressure,INTERVAL,,DISABLE,0,A,,
IO+ao.Exh.Baffle.Heater.Temp.Set,INTERVAL,,DISABLE,0,A,,
IO+ao.Loop8.Target.Temp.Set,INTERVAL,,DISABLE,0,A,,
IO+ao.Vac_Line.Heater.Temp.Set,INTERVAL,,DISABLE,0,A,,
IO+ao.Wall.Heater.Temp.Set,INTERVAL,,DISABLE,0,A,,
IO+di.CHM.ATM.Sts,INTERVAL,,DISABLE,0,D,,
IO+di.CHM.VAC.Sts,INTERVAL,,DISABLE,0,D,,
IO+di.DNET.Fan.Alarm,INTERVAL,,DISABLE,0,D,,
IO+di.ELT.Cover.Open,INTERVAL,,DISABLE,0,D,,
IO+di.ELT.Fan.Alarm,INTERVAL,,DISABLE,0,D,,
IO+di.ESC.He.Pressure.Alarm,INTERVAL,,DISABLE,0,D,,
IO+di.ESC.Noise.Filter.Fan.Alarm,INTERVAL,,DISABLE,0,D,,
IO+di.Fire.Detector.Alarm,INTERVAL,,DISABLE,0,D,,
IO+di.Gas1.Leak.Alarm,INTERVAL,,DISABLE,0,D,,
IO+di.Gas1.Leak.Detect,INTERVAL,,DISABLE,0,D,,
IO+di.Gas1.Leak.Warning,INTERVAL,,DISABLE,0,D,,
IO+di.Gas2.Leak.Alarm,INTERVAL,,DISABLE,0,D,,
IO+di.Gas2.Leak.Detect,INTERVAL,,DISABLE,0,D,,
IO+di.Gas2.Leak.Warning,INTERVAL,,DISABLE,0,D,,
IO+di.Gas3.Leak.Alarm,INTERVAL,,DISABLE,0,D,,
IO+di.Gas3.Leak.Detect,INTERVAL,,DISABLE,0,D,,
IO+di.Gas3.Leak.Warning,INTERVAL,,DISABLE,0,D,,
IO+di.Gas_Box.Door.Open,INTERVAL,,DISABLE,0,D,,
IO+di.Gas_Box.Exhaust.Alarm,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.CHM.ATM,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.CHM.Lid.Opened,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.CHM.Vac,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Fast.Vac.Opened,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Flame.Detect,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Gas.Vlv.Opened,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Gas1.Leak,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Gas2.Leak,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Gas3.Leak,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Gas_Box.Door.Opened,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Gas_Box.Exhaust,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Generator.Enable,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Inner_Slot.Vlv.Opened,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Liquid.Leak,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Matcher1,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Matcher2,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Pump.Running,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.RF_Gen.Water.Leak,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Slot.Vlv.Closed,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Slot.Vlv.Opened,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Source.Cover.Opened,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.Source.Water.Leak,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.TM.ATM.Sts,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.TM.Robot.PM.Extend,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.TM.VAC.Sts,INTERVAL,,DISABLE,0,D,,
IO+di.HW_Intlk.TMP.Water.Leak,INTERVAL,,DISABLE,0,D,,
IO+di.Liquid.Leak.Alarm,INTERVAL,,DISABLE,0,D,,
IO+di.PM.Scrubber.Alarm,INTERVAL,,DISABLE,0,D,,
IO+di.PM.Slot.Vlv.Close,INTERVAL,,DISABLE,0,D,,
IO+di.PM.Slot.Vlv.Open,INTERVAL,,DISABLE,0,D,,
IO+di.PM.Top_Lid.Close,INTERVAL,,DISABLE,0,D,,
IO+di.PM.Top_Lid.Open,INTERVAL,,DISABLE,0,D,,
IO+di.Pump.Running,INTERVAL,,DISABLE,0,D,,
IO+di.RF_Gen.PCW.Bottom.Alarm,INTERVAL,,DISABLE,0,D,,
IO+di.RF_Gen.PCW.Top.Alarm,INTERVAL,,DISABLE,0,D,,
IO+di.RF_Gen.Rack.Door.Open,INTERVAL,,DISABLE,0,D,,
IO+di.RF_Gen.Water.Leak,INTERVAL,,DISABLE,0,D,,
IO+di.RF_Matcher.Interlock.Bottom,INTERVAL,,DISABLE,0,D,,
IO+di.RF_Matcher.Interlock.Top,INTERVAL,,DISABLE,0,D,,
IO+di.Safety_Intlk.Controller.All,INTERVAL,,DISABLE,0,D,,
IO+di.Safety_Intlk.Gas.Vlv.Opened,INTERVAL,,DISABLE,0,D,,
IO+di.Safety_Intlk.RF_Gen,INTERVAL,,DISABLE,0,D,,
IO+di.Safety_Intlk.Slot.Vlv.Opened,INTERVAL,,DISABLE,0,D,,
IO+di.Source.Box.Cover.Open,INTERVAL,,DISABLE,0,D,,
IO+di.TMP.PCW.Alarm,INTERVAL,,DISABLE,0,D,,
IO+di.TMP.Water_Leak.Alarm,INTERVAL,,DISABLE,0,D,,
IO+di.Vac.Fast.Vlv.Close,INTERVAL,,DISABLE,0,D,,
IO+di.Vac.Fast.Vlv.Open,INTERVAL,,DISABLE,0,D,,
IO+do.Bara.Protect.01_Torr.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.Bara.Protect.10_Torr.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.Chuck.Zone_1.Heater.Pwr,INTERVAL,,DISABLE,0,D,,
IO+do.Chuck.Zone_2.Heater.Pwr,INTERVAL,,DISABLE,0,D,,
IO+do.Chuck.Zone_3.Heater.Pwr,INTERVAL,,DISABLE,0,D,,
IO+do.Chuck.Zone_4.Heater.Pwr,INTERVAL,,DISABLE,0,D,,
IO+do.ESC.Pin.Down,INTERVAL,,DISABLE,0,D,,
IO+do.ESC.Pin.Middle,INTERVAL,,DISABLE,0,D,,
IO+do.ESC.Pin.Up,INTERVAL,,DISABLE,0,D,,
IO+do.Fast.Vac.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.Gas.Final.Vlv,INTERVAL,,DISABLE,0,D,,
IO+do.He.Dump.3Way.Vlv,INTERVAL,,DISABLE,0,D,,
